Key;En;Ru;De;Fr;Es;Pt;Pl;Uk;Zh;Ja
ui.title;✨ Equestria OS Essentials;✨ Базовые программы Equestria OS;✨ Equestria OS Essentials;✨ Les Essentiels Equestria OS;✨ Esenciales de Equestria OS;✨ Essenciais do Equestria OS;✨ Niezbędnik Equestria OS;✨ Базові програми Equestria OS;✨ Equestria OS 必备软件;✨ Equestria OS 必須アプリ
ui.categories;Categories;Категории;Kategorien;Catégories;Categorías;Categorias;Kategorie;Категорії;类别;カテゴリー
ui.all;All;Все;Alle;Tout;Todo;Tudo;Wszystkie;Всі;全部;すべて
ui.install_btn_empty;Select Apps to Install;Выберите программы;Apps zum Installieren auswählen;Sélectionner des applications;Seleccionar aplicaciones;Selecionar aplicativos;Wybierz aplikacje;Виберіть програми;选择要安装的应用程序;インストールするアプリを選択
ui.install_btn_sel;Install Selected ({0});Установить ({0});Ausgewählte installieren ({0});Installer la sélection ({0});Instalar selección ({0});Instalar seleção ({0});Zainstaluj wybrane ({0});Встановити ({0});安装所选 ({0});選択項目をインストール ({0})
ui.install_btn_upd;Install / Update ({0});Установить / Обновить ({0});Installieren / Aktualisieren ({0});Installer / Mettre à jour ({0});Instalar / Actualizar ({0});Instalar / Atualizar ({0});Zainstaluj / Aktualizuj ({0});Встановити / Оновити ({0});安装/更新 ({0});インストール/更新 ({0})
ui.installed;Installed;Установлено;Installiert;Installé;Instalado;Instalado;Zainstalowano;Встановлено;已安装;インストール済み
ui.update;Update Available;Доступно обновление;Update verfügbar;Mise à jour disponible;Actualización disponible;Atualização disponível;Dostępna aktualizacja;Доступне оновлення;有可用更新;利用可能なアップデート
cat.gamedev;💻 GameDev & Code;💻 Разработка и Код;💻 GameDev & Code;💻 Dév. & Code;💻 GameDev y Código;💻 GameDev e Código;💻 GameDev i Kod;💻 Розробка та Код;💻 游戏开发与代码;💻 ゲーム開発とコード
cat.creativity;🎨 Creativity & Design;🎨 Творчество и Дизайн;🎨 Kreativität & Design;🎨 Créativité & Design;🎨 Creatividad y Diseño;🎨 Criatividade e Design;🎨 Twórczość i Design;🎨 Творчість та Дизайн;🎨 创意与设计;🎨 クリエイティビティとデザイン
