key,en,ru,de,fr,es,pt,pl,uk,zh,ja
ui.title,Equestria OS Task Panel Styles,Equestria OS Task Panel Styles,Equestria OS Task Panel Styles,Equestria OS Task Panel Styles,Equestria OS Task Panel Styles,Equestria OS Task Panel Styles,Equestria OS Task Panel Styles,Equestria OS Task Panel Styles,Equestria OS Task Panel Styles,Equestria OS Task Panel Styles
ui.subtitle,Select a layout preset,Выберите макет панели,Select a layout preset,Select a layout preset,Select a layout preset,Select a layout preset,Select a layout preset,Select a layout preset,Select a layout preset,Select a layout preset
ui.active_none,Active: —,Активен: —,Aktiv: —,Actif : —,Activo: —,Ativo: —,Aktywny: —,Активний: —,当前活动: —,アクティブ: —
ui.active_char,Active: {0},Активен: {0},Aktiv: {0},Actif : {0},Activo: {0},Ativo: {0},Aktywny: {0},Активний: {0},当前活动: {0},アクティブ: {0}
ui.btn_edit,Edit,Изменить,Bearbeiten,Éditer,Editar,Editar,Edytuj,Змінити,编辑,編集
ui.btn_duplicate,Duplicate,Дублировать,Duplizieren,Dupliquer,Duplicar,Duplicar,Duplikuj,Дублювати,复制,複製
ui.btn_create_new,Create New,Создать,Neu erstellen,Créer nouveau,Crear nuevo,Criar novo,Utwórz nowy,Створити,新建,新規作成
ui.btn_open_terminal,Open Terminal,Открыть терминал,Terminal öffnen,Ouvrir le terminal,Abrir terminal,Abrir terminal,Otwórz terminal,Відкрити термінал,打开终端,ターミナルを開く
ui.editor_title,Theme Editor,Редактор темы,Theme-Editor,Éditeur de thème,Editor de temas,Editor de temas,Edytor motywów,Редактор теми,主题编辑器,テーマエディター
ui.fld_id,Character ID,ID Персонажа,Charakter-ID,ID du personnage,ID de personaje,ID do personagem,ID postaci,ID персонажа,角色 ID,キャラクター ID
ui.fld_name,Display Name,Имя,Anzeigename,Nom d'affichage,Nombre para mostrar,Nome de exibição,Nazwa wyświetlana,Ім'я,显示名称,表示名
ui.fld_wallpaper,Wallpaper Path,Путь к обоям,Hintergrundpfad,Chemin du fond d'écran,Ruta del fondo,Caminho do papel de parede,Ścieżka tapety,Шлях до шпалер,壁纸路径,壁紙のパス
