key,en,ru,de,fr,es,pt,pl,uk,zh,ja
proton.title,Equestria OS Proton Settings,Настройки Equestria OS Proton,Equestria OS Proton Einstellungen,Paramètres Equestria OS Proton,Ajustes Equestria OS Proton,Configurações Equestria OS Proton,Ustawienia Equestria OS Proton,Налаштування Equestria OS Proton,Equestria OS Proton 设置,Equestria OS Proton 設定
proton.properties,Properties: {0},Свойства: {0},Eigenschaften: {0},Propriétés : {0},Propiedades: {0},Propriedades: {0},Właściwości: {0},Властивості: {0},属性：{0},プロパティ: {0}
proton.group_graphics,Graphics & System,Графика и система,Grafik & System,Graphismes & Système,Gráficos y sistema,Gráficos e Sistema,Grafika i system,Графіка та система,图形与系统,グラフィックとシステム
proton.chk_fps,Show FPS counter and performance (DXVK HUD),Показывать счетчик FPS и производительность (DXVK HUD),FPS-Zähler und Leistung anzeigen (DXVK HUD),Afficher les FPS et les performances (DXVK HUD),Mostrar contador FPS y rendimiento (DXVK HUD),Mostrar contador de FPS e desempenho (DXVK HUD),Pokaż licznik FPS i wydajność (DXVK HUD),Показувати лічильник FPS та продуктивність (DXVK HUD),显示 FPS 计数器和性能 (DXVK HUD),FPSカウンターとパフォーマンスを表示 (DXVK HUD)
proton.chk_desktop,Run in virtual desktop (fixes old games),Запускать в виртуальном рабочем столе (исправляет старые игры),In virtuellem Desktop ausführen (behebt alte Spiele),Exécuter dans un bureau virtuel (corrige les anciens jeux),Ejecutar en escritorio virtual (arregla juegos antiguos),Executar em área de trabalho virtual (corrige jogos antigos),Uruchom na wirtualnym pulpicie (naprawia stare gry),Запускати у віртуальному робочому столі (виправляє старі ігри),在虚拟桌面中运行（修复旧游戏）,仮想デスクトップで実行（古いゲームを修正）
proton.group_args,Launch Parameters,Параметры запуска,Startparameter,Paramètres de lancement,Parámetros de lanzamiento,Parâmetros de lançamento,Parametry uruchamiania,Параметри запуску,启动参数,起動パラメーター
proton.txt_args_placeholder,Example: -windowed -novid,Например: -windowed -novid,Beispiel: -windowed -novid,Exemple : -windowed -novid,Ejemplo: -windowed -novid,Exemplo: -windowed -novid,Przykład: -windowed -novid,Наприклад: -windowed -novid,例如：-windowed -novid,例: -windowed -novid
proton.group_danger,Data Management,Управление данными,Datenverwaltung,Gestion des données,Gestión de datos,Gerenciamento de Dados,Zarządzanie danymi,Керування даними,数据管理,データ管理
proton.lbl_danger,Reset sandbox state (delete prefix),Сбросить состояние песочницы (удалить префикс),Sandbox-Status zurücksetzen (Präfix löschen),Réinitialiser le bac à sable (supprimer le préfixe),Restablecer el estado del sandbox (eliminar prefijo),Redefinir estado da sandbox (excluir prefixo),Zresetuj stan piaskownicy (usuń prefiks),Скинути стан пісочниці (видалити префікс),重置沙盒状态（删除前缀）,サンドボックスの状態をリセット (プレフィックスを削除)
proton.btn_clear,Clear Cache,Удалить кэш,Cache leeren,Vider le cache,Borrar caché,Limpar Cache,Wyczyść pamięć podręczną,Очистити кеш,清除缓存,キャッシュをクリア
proton.btn_cancel,Cancel,Отмена,Abbrechen,Annuler,Cancelar,Cancelar,Anuluj,Скасувати,取消,キャンセル
proton.btn_save,Save,Сохранить,Speichern,Enregistrer,Guardar,Salvar,Zapisz,Зберегти,保存,保存
proton.msg_empty_title,Cache Empty,Кэш пуст,Cache leer,Cache vide,Caché vacío,Cache vazio,Pamięć podręczna pusta,Кеш порожній,缓存为空,キャッシュが空です
